age,income,previous_purchase,will_purchase
28,25061,Yes,Yes
60,73441,Yes,Yes
60,36305,Yes,Yes
59,33513,No,Yes
28,78989,Yes,No
23,24758,Yes,No
41,50325,Yes,Yes
53,69180,Yes,Yes
63,60103,No,Yes
41,24144,Yes,Yes
69,47865,Yes,No
29,42221,No,No
68,61716,No,No
60,75687,Yes,Yes
27,58907,No,Yes
21,62028,No,No
41,35127,Yes,No
24,65053,Yes,Yes
22,36427,Yes,Yes
34,32359,No,No
46,54604,No,Yes
45,33680,No,Yes
45,39638,No,Yes
37,67726,Yes,Yes
58,78714,No,Yes
27,29043,No,Yes
23,49195,No,No
36,58061,No,Yes
66,57910,Yes,No
49,37119,Yes,Yes
36,62183,Yes,No
69,69799,No,Yes
63,53687,No,Yes
65,66791,Yes,Yes
68,41460,Yes,No
56,64307,Yes,No
58,64717,No,Yes
24,50560,No,No
23,29149,Yes,Yes
68,61108,Yes,No
33,25448,Yes,No
66,55738,Yes,Yes
37,20460,No,No
65,46686,No,Yes
58,58052,Yes,Yes
39,48160,No,No
25,46080,No,Yes
28,41331,No,No
45,33239,No,Yes
50,47681,Yes,No
48,49700,Yes,No
31,78565,Yes,Yes
31,53341,Yes,Yes
60,36515,Yes,No
49,20368,Yes,No
20,29712,Yes,Yes
65,73600,Yes,Yes
33,66362,No,Yes
50,36973,Yes,No
66,27313,Yes,Yes
31,63768,No,Yes
61,28571,No,No
26,37927,Yes,No
38,50483,Yes,Yes
48,70329,No,Yes
68,26983,Yes,Yes
48,64906,Yes,Yes
52,33895,Yes,No
62,69138,No,No
20,60343,No,No
23,61150,Yes,Yes
28,37091,Yes,Yes
30,60118,Yes,Yes
40,68443,Yes,Yes
44,30955,No,No
44,69129,Yes,No
31,66768,Yes,Yes
25,67360,Yes,No
33,34463,Yes,Yes
44,62947,Yes,No
37,67247,No,Yes
66,27463,No,No
31,50614,Yes,Yes
28,21176,Yes,Yes
26,27550,No,No
23,66227,Yes,No
28,33624,No,Yes
65,79383,No,No
33,60477,No,No
40,28227,Yes,No
68,41055,No,Yes
68,68621,Yes,Yes
28,58695,No,No
28,73870,No,Yes
20,74338,Yes,No
26,31217,Yes,Yes
58,48435,No,Yes
29,60087,Yes,Yes
55,20957,Yes,Yes
28,31273,No,Yes
42,60733,Yes,No
64,28791,No,Yes
58,78470,Yes,No
69,33675,No,Yes
51,61392,Yes,Yes
38,79080,No,No
51,51296,No,Yes
67,69114,No,Yes
63,29017,Yes,Yes
21,38690,No,No
51,51322,No,Yes
22,36931,Yes,No
48,29748,No,Yes
57,33930,Yes,No
23,79610,No,No
46,79065,No,Yes
47,63530,No,No
49,70265,Yes,Yes
40,41431,No,Yes
33,32759,No,No
41,34939,No,No
36,37603,Yes,Yes
46,20885,Yes,No
26,34212,Yes,No
59,46704,Yes,Yes
24,23093,No,No
45,49008,Yes,No
63,78203,No,No
29,75954,No,Yes
29,29808,No,No
62,65620,Yes,No
63,67163,Yes,No
49,27222,No,No
46,30270,Yes,Yes
39,78731,Yes,Yes
45,38673,Yes,Yes
24,45432,Yes,No
34,26883,No,Yes
63,71835,Yes,Yes
39,54105,Yes,No
36,54370,No,No
24,33907,Yes,No
32,23049,Yes,Yes
56,45462,No,No
46,48944,No,Yes
67,73363,No,No
52,72544,No,No
63,51517,Yes,Yes
20,28972,Yes,Yes
44,22487,No,No
67,41771,No,No
44,64764,No,Yes
33,64940,No,Yes
60,50793,No,No
61,41328,No,No
39,20367,Yes,No
37,30171,Yes,No
45,71563,No,No
61,66750,No,No
21,41142,No,No
54,25813,No,No
38,66090,No,No
69,54464,Yes,Yes
35,35015,Yes,Yes
46,25572,No,Yes
36,67737,No,Yes
36,47030,Yes,Yes
46,72979,No,No
45,35146,Yes,No
59,28055,No,No
24,66210,No,Yes
57,66605,No,Yes
49,43021,Yes,Yes
66,77255,Yes,No
40,65701,No,No
60,69753,No,Yes
28,40971,No,No
30,38945,Yes,Yes
40,61937,Yes,Yes
20,70940,No,Yes
64,66281,No,Yes
60,48879,Yes,No
67,24259,No,Yes
35,27467,No,Yes
58,30012,No,Yes
63,34111,Yes,No
27,37943,Yes,Yes
22,76041,No,No
34,24252,No,No
50,77197,No,No
48,26785,Yes,Yes
25,35953,Yes,No
42,56213,No,No
34,78348,Yes,Yes
62,59260,No,Yes
60,40419,Yes,No
48,35076,No,Yes
39,79751,No,Yes
56,69701,Yes,No
20,48718,Yes,No
25,23664,No,Yes
25,78824,Yes,Yes
37,45127,No,Yes
36,38964,No,No
23,54106,Yes,No
24,59681,No,No
39,44657,No,No
63,31739,No,No
53,56985,No,Yes
40,26024,No,No
50,38405,Yes,Yes
35,29681,Yes,Yes
46,41627,No,Yes
42,52186,Yes,Yes
38,73719,No,Yes
43,35815,Yes,Yes
36,20277,No,No
41,71677,Yes,Yes
49,52535,Yes,No
38,71436,No,Yes
67,58392,No,Yes
34,64518,Yes,Yes
48,63834,Yes,No
68,75483,Yes,Yes
66,34143,Yes,No
65,50725,No,Yes
64,72733,No,No
40,70306,Yes,Yes
48,52050,No,Yes
57,34745,No,Yes
47,42030,Yes,Yes
52,22216,No,Yes
66,67769,No,No
39,51346,Yes,No
55,31133,Yes,Yes
65,53962,Yes,Yes
27,50145,No,No
34,28823,Yes,No
44,70538,No,Yes
51,47470,No,Yes
41,52715,Yes,Yes
38,60888,No,Yes
23,54752,No,No
34,49537,Yes,Yes
21,79306,No,No
45,78851,No,No
68,40991,No,Yes
46,39569,No,Yes
43,51471,Yes,No
42,54230,No,Yes
42,47696,Yes,No
35,26057,Yes,Yes
65,45860,Yes,Yes
67,34640,Yes,No
55,63678,No,No
53,27095,No,No
61,31692,Yes,Yes
53,39235,Yes,No
55,54314,No,Yes
30,61465,No,Yes
23,46617,No,Yes
67,57895,No,Yes
38,73235,Yes,Yes
22,45921,No,Yes
35,58683,Yes,Yes
51,51993,No,Yes
68,64876,No,Yes
25,34980,No,No
27,43262,Yes,Yes
33,71307,Yes,Yes
58,27485,No,Yes
68,26205,Yes,Yes
55,62326,No,Yes
49,45029,Yes,No
48,25140,Yes,No
57,74258,No,No
47,55088,No,Yes
52,67547,Yes,Yes
38,70785,No,Yes
24,70474,No,Yes
44,61580,Yes,No
29,68338,No,Yes
56,21078,Yes,Yes
57,68402,No,No
62,62716,No,Yes
48,59294,No,Yes
43,78852,No,No
65,61207,No,No
49,27579,Yes,No
68,74042,No,No
32,25238,No,Yes
41,35516,Yes,No
42,21471,No,No
35,38413,Yes,No
56,38076,Yes,No
23,21528,No,Yes
44,79310,Yes,Yes
41,22452,No,No
28,65754,No,No
50,45614,Yes,Yes
65,33506,Yes,No
27,23827,No,Yes
68,21240,No,Yes
63,33461,No,Yes
49,36426,Yes,No
67,35239,No,No
46,69112,No,Yes
60,25061,Yes,Yes
28,40896,Yes,No
25,68521,No,No
24,24425,Yes,Yes
62,77962,No,No
32,23521,No,No
48,23672,Yes,Yes
36,72016,No,No
24,77460,Yes,Yes
42,53882,Yes,Yes
23,28927,Yes,Yes
48,46611,No,No
60,35004,No,No
66,24851,No,Yes
55,20897,Yes,No
43,30497,Yes,Yes
51,61775,Yes,No
21,40807,Yes,Yes
61,39127,No,Yes
45,31518,Yes,No
27,73034,No,Yes
69,20336,No,Yes
27,56890,No,No
47,21114,Yes,Yes
43,60395,Yes,Yes
68,57985,Yes,Yes
22,48206,No,Yes
64,26384,Yes,Yes
39,58369,Yes,No
24,34184,No,Yes
40,71938,Yes,Yes
54,20722,No,No
37,59439,No,Yes
60,48955,Yes,Yes
25,75263,Yes,No
54,42263,No,Yes
55,55731,No,Yes
63,51820,No,No
20,37454,Yes,Yes
59,62408,No,No
53,28794,No,No
54,61066,Yes,Yes
63,76154,No,No
51,34066,No,Yes
52,64478,No,No
44,36566,No,No
39,47358,Yes,No
42,25411,No,No
67,40384,Yes,Yes
47,51839,No,No
39,27372,Yes,No
28,30251,Yes,Yes
65,79288,No,No
49,40460,Yes,Yes
24,50391,Yes,No
62,38990,Yes,No
32,47120,No,No
42,34335,No,Yes
29,75362,Yes,No
33,54800,Yes,Yes
62,44750,No,No
53,65043,Yes,Yes
30,21980,No,No
63,70346,No,Yes
54,44744,No,Yes
30,30828,No,Yes
26,28087,No,No
41,68635,No,No
49,29951,No,Yes
38,34554,No,Yes
22,51035,Yes,Yes
48,36111,No,No
58,40820,No,Yes
21,75168,No,Yes
38,37943,No,No
32,78550,No,No
35,66646,Yes,No
25,62315,Yes,Yes
58,31736,Yes,No
51,77984,Yes,Yes
67,64422,No,Yes
23,79611,No,Yes
46,22297,No,No
66,64698,Yes,No
64,69459,No,Yes
33,73519,Yes,No
67,76042,No,Yes
25,43353,Yes,Yes
29,44752,Yes,Yes
35,44773,Yes,No
41,25876,No,Yes
60,29533,Yes,Yes
34,40459,Yes,No
46,40212,No,Yes
41,33972,Yes,Yes
68,48880,No,Yes
22,25347,Yes,Yes
36,63342,No,Yes
35,61115,No,No
66,74253,No,No
41,66770,Yes,Yes
59,43017,Yes,Yes
66,27543,Yes,No
20,29825,No,No
64,30710,No,Yes
23,50705,No,No
61,55037,Yes,No
67,42994,No,Yes
56,43265,Yes,No
47,32201,Yes,Yes
35,43410,Yes,No
49,21804,Yes,No
30,68363,Yes,Yes
49,46239,Yes,No
43,43642,Yes,No
40,55778,No,No
55,37651,Yes,Yes
24,35184,Yes,Yes
46,75956,No,No
33,28683,No,No
65,50592,Yes,No
49,49572,No,No
63,45490,Yes,Yes
30,50823,Yes,No
48,73423,No,Yes
25,25573,No,No
26,63388,No,Yes
39,48936,Yes,Yes
58,48604,Yes,No
53,49838,Yes,No
61,20326,Yes,Yes
38,32549,Yes,No
24,33741,Yes,Yes
63,64718,Yes,No
59,25728,No,Yes
69,24926,Yes,No
34,20268,Yes,Yes
31,58768,No,No
69,34750,No,No
67,29111,No,No
59,46721,Yes,Yes
44,30374,Yes,Yes
65,30127,Yes,No
28,37224,No,No
61,47643,Yes,Yes
48,57373,Yes,Yes
23,76837,Yes,Yes
38,31947,No,Yes
55,75959,No,Yes
32,77651,Yes,Yes
69,74931,No,No
48,69379,No,Yes
52,36231,Yes,Yes
27,74766,No,Yes
47,52222,No,Yes
42,45175,Yes,No
37,41199,Yes,Yes
41,30814,No,No
43,71879,Yes,No
20,68684,No,No
54,59835,No,Yes
63,26227,Yes,Yes
31,68638,No,Yes
55,73245,Yes,No
37,75191,No,Yes
57,59569,Yes,No
45,70430,Yes,No
52,51051,No,No
59,56595,No,Yes
34,66845,Yes,Yes
58,37956,Yes,Yes
36,36823,Yes,No
56,30885,Yes,Yes
36,58713,No,Yes
65,25315,Yes,No
46,74869,Yes,Yes
58,29159,No,No
55,35645,Yes,Yes
68,23772,No,No
57,49216,No,No
47,45666,Yes,Yes
27,26309,No,Yes
69,52498,No,Yes
41,52988,No,No
36,68141,Yes,No
67,70783,No,Yes
21,71530,No,No
23,22205,Yes,Yes
22,21352,Yes,No
41,69171,No,Yes
23,29081,Yes,No
56,26808,No,Yes
23,63808,Yes,No
31,59711,No,No
42,34830,No,No
28,44915,Yes,No
20,67764,Yes,Yes
54,67742,No,No
48,24107,Yes,No
57,60182,Yes,No
36,61373,Yes,Yes
44,33634,Yes,No
50,79880,No,No
46,23671,No,No
52,78369,Yes,Yes
64,66979,No,Yes
41,26518,Yes,Yes
32,50495,No,Yes
68,67708,Yes,Yes
42,56073,No,No
20,40529,Yes,No
24,30269,Yes,No
62,25829,Yes,No
58,68617,Yes,No
57,58314,Yes,No
52,60609,Yes,No
52,63211,Yes,No
60,77523,Yes,No
30,55272,No,Yes
21,24987,Yes,Yes
27,33148,Yes,Yes
44,77258,No,No
48,59943,Yes,No
69,29134,Yes,Yes
64,27820,Yes,No
63,41310,Yes,No
64,44739,Yes,No
31,66480,No,No
24,25805,No,Yes
49,65499,Yes,Yes
52,31365,Yes,Yes
28,57991,Yes,No
65,35630,No,No
38,30926,Yes,Yes
32,39513,No,No
46,31792,Yes,Yes
41,48334,Yes,Yes
52,35226,Yes,Yes
27,52914,No,No
22,69860,Yes,Yes
64,66557,No,Yes
21,68146,Yes,No
51,49437,No,Yes
45,60163,Yes,Yes
62,30140,Yes,No
52,20403,Yes,No
38,57885,Yes,No
38,59083,Yes,Yes
40,22425,No,Yes
57,73138,No,Yes
68,55984,No,Yes
30,45894,Yes,No
67,29226,No,No
66,77521,No,Yes
29,53157,Yes,Yes
41,74160,No,No
57,33998,No,Yes
24,42882,Yes,Yes
38,41153,No,No
68,43627,No,Yes
62,49619,No,No
20,62796,No,No
63,28353,Yes,Yes
62,21587,No,No
60,62242,No,No
64,55705,Yes,No
37,28241,No,No
56,54986,Yes,No
23,41875,Yes,No
55,48717,No,Yes
58,28497,No,No
42,42295,Yes,Yes
58,77717,No,No
38,49780,Yes,No
56,46053,Yes,No
52,21588,Yes,No
28,36417,Yes,Yes
20,69979,No,No
38,46162,Yes,Yes
64,28925,Yes,No
62,22862,Yes,No
54,78395,Yes,No
38,71208,No,Yes
33,23253,No,No
34,71404,No,No
45,67100,No,Yes
68,78478,No,No
43,49327,No,No
41,72194,No,Yes
58,37109,Yes,No
35,67809,Yes,No
69,71111,Yes,No
32,43168,Yes,Yes
56,21679,No,No
62,78756,No,No
56,39089,No,Yes
30,46076,Yes,Yes
33,52326,No,Yes
24,26125,Yes,Yes
37,78175,Yes,Yes
39,37824,No,No
49,44220,No,No
31,70739,No,Yes
26,45838,No,No
58,33734,Yes,Yes
22,63672,Yes,Yes
20,42723,No,Yes
33,41912,Yes,Yes
47,29030,Yes,No
38,78670,No,Yes
45,65048,No,Yes
62,45634,Yes,Yes
24,39657,No,No
51,27994,No,No
21,57190,No,No
60,72638,No,Yes
34,70973,Yes,No
63,54063,No,No
23,54582,Yes,No
68,22970,No,No
68,28831,Yes,No
58,47657,No,Yes
52,49157,No,No
29,50431,No,No
34,79094,Yes,Yes
24,41550,Yes,No
30,77148,Yes,Yes
41,24336,Yes,Yes
56,67056,No,No
44,33201,No,Yes
62,25927,Yes,No
66,31444,Yes,Yes
36,74918,No,No
64,54661,No,Yes
57,56128,No,Yes
25,49006,Yes,Yes
57,64536,No,Yes
64,21793,Yes,Yes
31,50165,Yes,Yes
43,57053,Yes,No
68,37865,Yes,No
21,46920,No,No
42,34752,Yes,No
65,41491,Yes,No
21,36444,No,No
26,38626,Yes,No
51,43468,Yes,Yes
39,77750,Yes,No
48,50425,Yes,Yes
57,20526,No,Yes
37,54642,No,No
22,28942,No,Yes
21,46960,Yes,Yes
63,67129,Yes,No
52,24608,Yes,Yes
36,53836,No,No
27,66634,Yes,No
58,55928,Yes,No
32,40052,No,No
41,43103,No,No
20,34519,Yes,No
58,64251,No,No
59,23882,No,No
68,32021,No,Yes
48,20153,No,No
25,65476,Yes,No
33,57309,No,Yes
52,31181,No,No
60,40603,Yes,Yes
54,55739,Yes,No
66,29653,No,Yes
67,28560,Yes,No
58,45732,No,No
32,65616,Yes,Yes
64,63239,Yes,No
23,41925,No,Yes
69,47367,No,No
51,42648,No,Yes
23,36802,No,No
34,24761,Yes,Yes
27,31797,No,Yes
51,26232,Yes,Yes
44,21587,Yes,No
48,58070,Yes,Yes
31,49412,No,No
23,51657,Yes,Yes
60,41422,No,No
44,65277,Yes,No
58,69990,Yes,Yes
67,48417,No,Yes
35,74696,Yes,Yes
24,70181,Yes,No
24,67878,No,Yes
37,34288,Yes,No
56,51003,Yes,No
47,49721,Yes,Yes
21,51107,No,Yes
66,26771,No,Yes
46,55282,No,Yes
23,40992,Yes,No
67,32750,No,Yes
27,36896,Yes,Yes
49,78921,No,Yes
28,33688,No,Yes
41,73123,No,Yes
67,71079,No,No
22,79075,Yes,No
24,57622,No,No
65,25877,Yes,Yes
56,76931,Yes,No
42,48273,Yes,No
63,45343,Yes,Yes
21,35324,No,Yes
35,71484,No,Yes
40,58350,No,No
47,36033,Yes,No
63,61276,Yes,Yes
49,73002,Yes,No
23,32328,Yes,No
41,71941,Yes,No
29,58407,No,Yes
30,36392,No,No
34,36981,No,Yes
42,41706,Yes,Yes
64,72390,No,No
50,29410,Yes,No
26,22817,Yes,No
26,38700,Yes,Yes
51,24751,Yes,Yes
40,63588,Yes,No
59,46647,Yes,No
22,24472,Yes,Yes
40,62185,No,No
47,52025,No,Yes
68,58636,Yes,Yes
61,63756,No,Yes
47,30299,Yes,No
50,42436,No,Yes
48,51457,No,Yes
53,64678,Yes,Yes
20,59341,Yes,Yes
54,60087,Yes,Yes
54,34011,No,No
47,25658,Yes,No
58,40734,No,No
40,43897,No,No
55,43037,Yes,No
46,25496,Yes,Yes
54,42812,No,No
30,63153,Yes,Yes
45,49868,Yes,No
42,65951,No,No
34,39398,Yes,Yes
61,25530,No,No
51,28267,Yes,Yes
58,44391,No,Yes
62,42497,No,Yes
38,71392,Yes,No
39,58208,No,Yes
25,77340,Yes,Yes
26,27937,Yes,No
44,57953,No,Yes
28,35854,Yes,No
67,67030,Yes,Yes
69,30065,No,No
59,68087,Yes,No
59,46801,Yes,Yes
58,34732,No,No
62,66461,Yes,Yes
65,28741,No,Yes
32,50662,No,Yes
66,65823,No,Yes
55,54926,Yes,No
48,49574,No,No
57,27433,Yes,Yes
48,24049,No,Yes
23,59915,Yes,Yes
34,20155,Yes,No
60,23480,Yes,No
31,35703,No,No
46,74086,Yes,Yes
65,64915,Yes,No
23,28502,Yes,Yes
42,47911,Yes,No
24,33724,Yes,Yes
49,71412,No,No
25,75916,Yes,Yes
22,50354,No,Yes
34,67241,Yes,No
58,61617,No,Yes
39,68603,No,No
34,48947,Yes,Yes
61,74860,No,No
39,59331,No,No
50,44585,No,No
29,54446,Yes,No
27,26323,No,Yes
66,33811,No,No
51,22460,No,Yes
56,21047,Yes,Yes
30,63953,Yes,Yes
51,40524,No,No
36,59202,No,Yes
34,20112,Yes,No
53,46642,Yes,Yes
20,25368,No,Yes
49,34787,Yes,No
51,65026,No,Yes
38,71490,No,No
24,44036,Yes,No
21,35113,No,No
34,60071,Yes,Yes
35,40248,No,No
58,46167,No,No
53,77667,No,Yes
68,62697,Yes,No
41,45160,Yes,No
64,39186,No,No
34,25930,Yes,Yes
47,21240,No,No
44,78137,Yes,Yes
66,50693,Yes,No
64,44207,No,No
21,37313,Yes,No
36,55631,No,No
58,38518,Yes,Yes
49,23742,Yes,No
64,44796,Yes,No
20,48042,Yes,No
29,73002,Yes,Yes
64,79612,Yes,Yes
56,28282,Yes,No
69,46619,No,No
22,33076,No,No
67,55110,Yes,Yes
33,42757,Yes,Yes
49,47713,Yes,Yes
23,35536,No,Yes
63,55263,No,No
66,24050,Yes,Yes
37,79823,Yes,Yes
60,46990,Yes,No
54,52630,No,No
21,71414,No,No
36,65584,Yes,No
35,72930,Yes,No
49,65559,No,Yes
30,77708,No,No
34,75573,Yes,No
50,62888,No,Yes
22,35812,No,Yes
52,32638,No,No
52,62426,Yes,Yes
45,36769,Yes,Yes
53,22597,Yes,No
58,75186,No,No
66,47793,Yes,No
41,44999,No,No
38,23610,No,Yes
54,43825,Yes,No
31,59520,No,Yes
69,34226,No,No
28,26396,No,No
68,26572,No,No
54,64231,No,Yes
24,54377,No,Yes
26,60771,Yes,No
46,35672,Yes,No
25,79520,No,Yes
58,76954,No,Yes
40,27602,Yes,No
37,77453,No,Yes
58,70498,Yes,No
62,68359,No,No
27,72092,No,Yes
47,42142,Yes,No
49,57725,No,No
58,56958,No,No
65,58615,Yes,Yes
43,74737,Yes,No
63,73217,No,Yes
58,67568,Yes,No
40,32900,No,Yes
67,64827,Yes,Yes
63,22790,Yes,Yes
45,40610,Yes,Yes
60,45399,Yes,No
35,31918,No,No
39,27460,Yes,No
40,59962,No,No
33,40096,Yes,Yes
64,69243,No,No
54,41251,No,Yes
57,20726,No,No
40,74953,Yes,Yes
23,68726,No,Yes
24,38437,Yes,Yes
25,61339,No,Yes
66,28091,No,No
22,21274,Yes,No
44,45704,Yes,No
21,34950,Yes,No
52,60173,No,Yes
31,57371,No,No
60,28610,No,No
20,28472,Yes,No
26,22753,Yes,Yes
44,55531,No,No
25,52475,No,No
44,20784,Yes,Yes
55,53177,Yes,No
69,40140,No,Yes
58,73399,No,No
32,42684,No,No
31,77699,Yes,Yes
37,72576,No,No
62,44218,Yes,No
54,58855,Yes,Yes
23,66591,No,No
35,47189,No,Yes
42,30110,No,No
42,61394,No,No
51,61174,Yes,Yes
25,26717,Yes,No
35,21126,Yes,No
52,65283,Yes,No
35,46067,No,No
65,54335,Yes,No
50,24078,Yes,No
29,58530,Yes,Yes
64,33882,Yes,Yes
22,46316,No,Yes
40,27353,Yes,Yes
62,22058,No,No
67,68443,Yes,Yes
49,75618,No,Yes
30,36434,No,No
53,26443,No,Yes
31,41632,Yes,Yes
30,32853,Yes,No
69,38620,No,No
33,73264,Yes,Yes
28,76354,Yes,No
69,35163,No,No
24,70700,Yes,No
46,20278,Yes,No
29,33925,Yes,Yes
20,34930,Yes,No
29,75131,No,No
46,47745,Yes,No
60,29380,Yes,Yes
38,50218,Yes,No
31,43324,No,No
57,49901,Yes,Yes
29,41112,No,Yes
21,41683,Yes,Yes
44,36812,No,No
34,64038,No,No
31,74680,No,No
64,63429,No,No
55,35590,No,Yes
37,23922,Yes,No
20,26476,No,Yes
55,25736,No,Yes
24,63436,Yes,Yes
61,32803,No,Yes
48,32969,Yes,No
59,51314,No,No
30,79039,Yes,Yes
37,49836,Yes,No
29,61301,No,Yes
26,74471,Yes,Yes
52,27896,No,No
28,22469,No,No
24,48373,Yes,No
64,58321,Yes,Yes
61,40591,Yes,Yes
64,37631,Yes,Yes
53,44401,Yes,Yes
62,26027,Yes,Yes
56,35876,Yes,No
43,39631,Yes,Yes
65,53325,No,Yes
40,61622,Yes,Yes
65,39531,Yes,No
52,76715,No,Yes
36,26844,No,No
22,35070,No,No
29,31603,Yes,Yes
59,59240,Yes,No
69,71172,No,Yes
66,70395,Yes,No
32,32902,No,Yes
48,68363,No,Yes
25,28343,Yes,No
34,50898,No,No
50,78983,Yes,Yes
28,24923,No,No
59,49266,No,No
20,49814,Yes,Yes
24,51545,Yes,No
48,75375,Yes,No
34,50817,Yes,Yes
26,70532,No,Yes
31,61201,No,Yes
49,21779,No,Yes
60,69975,No,Yes
37,40821,Yes,Yes
55,37228,No,Yes
66,48545,No,No
20,39202,Yes,No
54,35957,Yes,Yes
43,24813,No,No
44,41909,No,Yes
48,64943,No,No
28,79215,No,No
61,45066,No,No
35,67502,Yes,Yes
34,79197,No,No
66,71646,No,Yes
50,38683,Yes,No
41,49754,Yes,No
34,52118,Yes,No
28,73139,No,Yes
22,62782,No,Yes
44,49424,Yes,No
40,50604,No,No
30,52382,Yes,No
50,47914,Yes,No
56,79950,Yes,Yes
60,59790,Yes,Yes
57,33084,No,No
61,66911,Yes,Yes
54,77673,Yes,No
43,77601,Yes,No
36,62040,Yes,Yes
30,59690,No,Yes
43,52619,No,No
53,42274,No,Yes
34,61491,No,No
22,38735,No,Yes
32,28406,Yes,Yes
56,30685,No,No
26,60724,No,No
60,49333,Yes,No
65,74243,Yes,Yes
50,55156,Yes,No
63,69874,No,Yes
26,30424,No,Yes
45,72923,No,Yes
63,60654,Yes,Yes
48,29853,Yes,Yes
43,21810,Yes,No
24,29808,No,No
29,71941,Yes,No
59,60391,Yes,Yes
59,48802,No,Yes
45,21033,No,Yes
51,33782,No,Yes
42,27010,No,Yes
50,26827,No,Yes
54,66262,No,No
47,74953,Yes,Yes
68,70258,No,No
23,59117,Yes,Yes
53,61348,No,No
53,63633,Yes,No
67,77464,Yes,No
51,56304,Yes,No
65,74724,Yes,No
28,74568,No,No
42,31244,Yes,Yes
69,56397,No,Yes
51,59693,Yes,Yes
34,22217,Yes,Yes
25,22182,Yes,Yes
60,57792,No,No
61,37543,Yes,Yes
24,26434,Yes,Yes
29,52743,No,No
41,66309,No,Yes
28,72804,Yes,Yes
65,20930,Yes,Yes
40,57532,No,No
24,63143,No,No
58,72882,Yes,No
25,30786,Yes,Yes
52,71676,No,No
55,47935,Yes,Yes
36,30541,No,Yes
64,46963,Yes,Yes
51,30472,Yes,No
64,29505,Yes,Yes
64,72816,No,No
61,54117,No,No
68,57919,Yes,Yes
41,66876,No,Yes
51,76859,Yes,Yes
51,22799,No,Yes
30,54801,Yes,No
53,29741,Yes,Yes
26,42684,No,Yes
24,38739,No,Yes
38,41495,No,No
30,50079,No,Yes
61,43430,Yes,Yes
60,45597,No,No
43,31757,No,No
29,60609,Yes,Yes
33,61455,No,No
40,66798,No,No
65,37769,Yes,No
46,41128,No,Yes
31,36144,No,No
57,38415,Yes,No
53,64045,No,No
31,74666,No,No
34,67289,Yes,Yes
20,53944,Yes,Yes
67,66670,No,Yes
48,64144,Yes,Yes
61,26893,No,Yes
54,77682,No,Yes
30,26466,Yes,Yes
34,23091,Yes,No
26,24296,No,Yes
39,31536,No,Yes
37,37023,Yes,No
69,28412,Yes,Yes
69,71867,Yes,Yes
24,69919,No,Yes
56,22415,No,No
55,72731,No,No
58,34513,No,Yes
42,54616,Yes,No
20,33170,No,No
54,43116,Yes,No
29,46348,No,No
68,71707,No,Yes
